Key,Section,English (do not edit),Armenian (հայերեն),Russian (русский),Has formatting?,Where it comes from
cover.tagline,cover,A new chapter together,,,,index.html
nav.invitation,topbar,The Invitation,,,,index.html
nav.details,topbar,The Details,,,,index.html
nav.hotel,topbar,DiliJazz,,,,index.html
nav.stay,topbar,Stay With Us,,,,index.html
nav.wear,topbar,What to Wear,,,,index.html
nav.register,topbar,Register,,,,index.html
nav.rsvp,topbar,Register,,,,index.html
hero.sub,hero,And we would love to celebrate with you.,,,,index.html
hero.cta,hero,To the invitation,,,,index.html
hero.title,hero,"We’re<br>getting<br>married</span><span class=""heart"" aria-hidden=""true"">♥</span> </h1> <span class=""rule-accent"" aria-hidden=""true""></span> <p class=""hero__sub"" data-i18n=""hero.sub"">And we would love to celebrate with you.</p> <div class=""hero__meta""> <span data-var=""weddingDateUpper"">OCTOBER 24, 2026</span> <span data-var=""locationUpper"">DILIJAN, ARMENIA</span> </div> <div class=""hero__cta""> <a class=""btn btn--fill"" href=""#invitation""> <span data-i18n=""hero.cta"">To the invitation</span> <span class=""arr"" aria-hidden=""true"">→</span> </a> </div>",,,YES - keep the tags,index.html
inv.p1,invitation,Some of you have been by our side from the very start — and each of you is part of our lives in a special way.,,,,index.html
inv.p2,invitation,"Now, as we take this next step together, we would love to have our favorite people around us.",,,,index.html
inv.p3,invitation,"Come celebrate, laugh, dance and make some new memories with us.",,,,index.html
det.label,details,The details,,,,index.html
det.dow,details,Saturday,,,,index.html
det.md,details,October 24,,,,index.html
det.yr,details,2026,,,,index.html
det.map,details,View on map,,,,index.html
det.day,details,The day,,,,index.html
det.a1,details,Welcome Reception,,,,index.html
det.a2,details,Ceremony,,,,index.html
det.a3,details,Dinner &amp; Party,,,,index.html
det.a4,details,Afterparty,,,,index.html
det.a4b,details,until dawn,,,,index.html
break.dilijan,break,Dilijan · October,,,,index.html
hotel.p1,hotel,"Set in the forests of Dilijan, by the river, DiliJazz is a cozy retreat surrounded by nature.",,,,index.html
hotel.p2,hotel,"The hotel offers a <strong>spa, indoor pool, sauna, jacuzzi and beautiful private gardens</strong> — all within the hotel grounds.",,,YES - keep the tags,index.html
hotel.p3,hotel,"For our wedding, the hotel will be <strong>exclusively hosting our wedding party, with no other hotel guests during our celebration.</strong>",,,YES - keep the tags,index.html
stay.h,stay,Stay With Us,,,,index.html
stay.p1,stay,We’d love for the celebration not to end with the last dance.,,,,index.html
stay.p2,stay,"For our wedding, DiliJazz will be exclusively hosting our group — giving us the whole setting to celebrate together through the night and into the next morning.",,,,index.html
stay.p3,stay,"Stay late, celebrate with us, and join us for breakfast the next day.",,,,index.html
stay.forguests,stay,For our guests,,,,index.html
stay.rateh,stay,Your special wedding night rate at DiliJazz,,,,index.html
stay.rateoff,stay,"<span data-var=""hotelDiscount"">30%</span> <span class=""rate__off"">off</span>",,,YES - keep the tags,index.html
stay.ratep,stay,"DiliJazz is offering our guests a special rate, and we’re covering part of the cost ourselves — a little thank-you for being there to celebrate with us.",,,,index.html
stay.extralabel,stay,More time together,,,,index.html
stay.extrap,stay,"Staying longer? DiliJazz is giving <strong>our guests <span data-var=""extraNightsDiscount"">15%</span> off</strong> the nights before and after the wedding — so nobody has to rush off. More time together, longer nights, and the kind of conversations a wedding day never quite leaves room for.",,,YES - keep the tags,index.html
stay.bookh,stay,How to Book,,,,index.html
stay.s1,stay,Choose your preferred room on the DiliJazz website.,,,,index.html
